timestamp,usercount,instancecount,tootscount
1540890004,1672626,1788,185246864
1540893603,1672693,1787,185262028
1540897203,1672735,1788,185274752
1540900801,1672793,1788,185294739
1540904401,1672850,1787,185313427
1540908001,1672929,1786,185335722
1540911601,1672994,1787,185361379
1540915201,1673090,1788,185387217
1540918802,1673169,1786,185402732
1540922404,1673079,1786,185416089
1540926004,1673297,1787,185428550
1540929605,1673383,1786,185437515
1540933203,1673452,1787,185448641
1540936803,1673531,1784,185460880
1540940403,1673600,1787,185467948
1540944003,1673690,1785,185482322
1540947604,1673751,1787,185495473
1540951203,1673825,1785,185509232
1540954804,1673905,1783,185521892
1540958405,1673966,1783,185538100
1540962003,1674031,1783,185552039
1540965603,1674086,1781,185563545
1540969203,1674132,1781,185575690
1540972804,1674186,1782,185587929
1540976405,1674226,1782,185601335
1540980004,1674284,1785,185617163
1540983603,1674351,1786,185632182
1540987205,1674397,1786,185648039
1540990803,1674449,1787,185666422
1540994404,1674533,1787,185688257
1540998004,1674610,1788,185701776
1541001604,1674692,1788,185723408
1541005203,1674769,1787,185739431
1541008805,1674827,1785,185743264
1541012405,1674891,1783,185752735
1541016003,1674952,1776,185762321
1541019603,1675008,1780,185770172
1541023204,1675078,1781,185772084
1541026803,1675126,1781,185783538
1541030405,1675186,1782,185795638
1541034004,1675232,1783,185811376
1541037605,1675262,1783,185821636
1541041205,1675312,1782,185818273
1541044805,1675358,1779,185830499
1541048405,1675403,1776,185842733
1541052003,1675457,1776,185780230
1541055603,1675517,1777,185786333
1541059205,1675563,1779,185795832
1541062805,1675595,1780,185806745
1541066405,1675639,1779,185816790
1541070005,1675683,1779,185831868
1541073603,1675725,1780,185750320
1541077205,1675779,1779,185760859
1541080805,1675830,1779,185778272
1541084404,1675892,1779,185794134
1541088004,1675955,1781,185802816
1541091604,1676011,1781,185657051
1541095205,1676060,1783,185667224
1541098805,1676119,1782,185677978
1541102405,1676150,1779,185686465
1541106005,1676198,1779,185691579
1541109604,1676250,1778,185699126
1541113204,1676293,1778,185712830
1541116805,1676364,1778,185727805
1541120405,1676426,1780,185740576
1541124005,1676492,1780,185752841
1541127603,1676555,1780,185765294
1541131203,1676613,1781,185780204
1541134804,1676661,1780,185786452
1541138405,1676712,1779,185793555
1541142004,1676776,1780,185802633
1541145603,1676830,1780,185812514
1541149205,1676869,1782,185827046
1541152803,1676931,1781,185841256
1541156403,1676975,1782,185859019
1541160003,1677029,1781,185876036
1541163604,1677091,1779,185894515
1541167204,1677153,1780,185914251
1541170803,1677217,1778,185935127
1541174403,1677284,1780,185935286
1541178004,1677343,1781,185952863
1541181604,1677388,1781,185966360
1541185205,1677450,1782,185978129
1541188803,1677492,1781,185989736
1541192404,1677558,1781,185968988
1541196004,1677612,1780,185980292
1541199604,1677657,1780,185986599
1541203204,1677718,1779,186001435
1541206805,1677779,1778,186016473
1541210405,1677818,1777,186029901
1541214005,1677881,1778,186044021
1541217604,1677938,1779,186059617
1541221204,1677997,1781,186073960
1541224805,1678062,1781,186088316
1541228403,1678121,1780,186101534
1541232005,1678166,1780,186113880
1541235603,1678214,1780,186127142
1541239204,1678263,1779,186140394
1541242803,1678314,1776,186156316
1541246404,1678355,1776,186173720
1541250004,1678425,1776,186193486
1541253604,1678481,1775,186215012
1541257204,1678538,1775,186236840
1541260803,1678602,1774,186258395
1541264403,1678667,1774,186275400
1541268005,1678715,1775,186289009
1541271603,1678801,1773,186300934
1541275204,1678858,1773,186310085
1541278804,1678901,1773,186318562
1541282404,1678954,1772,186329084
1541286004,1679002,1773,186339366
1541289604,1679050,1771,186349904
1541293204,1679085,1771,186359734
1541296805,1679130,1769,186372334
1541300405,1679173,1766,186385069
1541304004,1679227,1764,186397805
1541307605,1679296,1765,186411012
1541311204,1679355,1764,186423989
1541314804,1679414,1764,186437184
1541318405,1679465,1767,186451427
1541322004,1679509,1768,186466547
1541325605,1679563,1767,186480736
1541329203,1679610,1771,186479362
1541332801,1679669,1772,186496025
1541336402,1679715,1773,186511616
1541340004,1679771,1773,186529341
1541343603,1679829,1773,186550888
1541347204,1679883,1772,186570569
1541350804,1679950,1773,186587294
1541354404,1680015,1773,186601038
1541358005,1680076,1773,186613087
1541361605,1680135,1773,186623517
1541365203,1680203,1774,186633433
1541368804,1680277,1774,186644534
1541372403,1680348,1775,186657172
1541376004,1680412,1775,186670263
1541379605,1680477,1776,186681908
1541383203,1680544,1777,186690764
1541386804,1680617,1770,186702788
1541390405,1680674,1770,186718276
1541394004,1680733,1768,186733232
1541397604,1680793,1769,186744751
1541401205,1680853,1773,186756772
1541404805,1680916,1775,186756900
1541408405,1680984,1774,186770496
1541412004,1681054,1774,186787086
1541415605,1681114,1776,186806960
1541419205,1681156,1774,186766035
1541422805,1681215,1773,186781449
1541426405,1681273,1772,186803951
1541430003,1681352,1773,186827235
1541433604,1681430,1775,186841670
1541437203,1681505,1770,186857617
1541440804,1681566,1770,186856394
